tenure,amount,rate,residence,age,credits,maintenance,history,savings,employment,property,job,status,purpose,guarantor,installments,housing,telephone,foreign,sex,personal,label
30,2333,4,2,30,1,1,so far so good,"[500, 1000)","[7, inf)",car,white color,no account,television,none,loan,ownership,none,True,male,male single,0
12,1158,3,1,26,1,1,so far so good,"[500, 1000)","[1, 4)",car,skilled,petty,television,none,none,ownership,yes,True,male,male divorced/separated,0
18,6204,2,4,44,1,2,delay,"[0, 100)","[1, 4)",real estate,unskilled,petty,repairs,none,none,ownership,yes,True,male,male single,0
30,6187,1,4,24,2,1,critical,"[100, 500)","[4, 7)",car,skilled,overdrawn,used car,none,none,rent,none,True,male,male married/widowed,0
48,6143,4,4,58,2,1,critical,"[0, 100)","[7, inf)",none,unskilled,overdrawn,used car,none,consumer,without payment,none,True,female,female divorced/separated/married,1
11,1393,4,4,35,2,1,critical,"[0, 100)","[0, 1)",car,white color,no account,car,none,none,ownership,none,True,female,female divorced/separated/married,0
36,2299,4,4,39,1,1,so far so good,"[500, 1000)","[7, inf)",car,skilled,no account,television,none,none,ownership,none,True,male,male single,0
6,1352,1,2,23,1,1,so far so good,"[500, 1000)",unemployed,building savings / life insurance,unemployed/unskilled non-resident,overdrawn,used car,none,none,rent,yes,True,female,female divorced/separated/married,0
11,7228,1,4,39,2,1,critical,"[0, 100)","[1, 4)",building savings / life insurance,unskilled,no account,car,none,none,ownership,none,True,male,male single,0
12,2073,4,2,28,1,1,so far so good,"[100, 500)","[1, 4)",real estate,skilled,no account,television,co-applicant,none,ownership,none,True,female,female divorced/separated/married,0
24,2333,4,2,29,1,1,delay,no savings,"[0, 1)",building savings / life insurance,unskilled,petty,furniture,none,loan,ownership,none,True,male,male single,0
27,5965,1,2,30,2,1,delay,"[0, 100)","[7, inf)",car,white color,petty,used car,none,none,ownership,yes,True,male,male single,0
12,1262,3,2,25,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,no account,television,none,none,ownership,none,True,male,male single,0
18,3378,2,1,31,1,1,so far so good,no savings,"[1, 4)",building savings / life insurance,skilled,no account,used car,none,none,ownership,yes,True,male,male single,0
36,2225,4,4,57,2,1,delay,"[0, 100)","[7, inf)",none,skilled,petty,car,none,loan,without payment,yes,True,male,male single,1
6,783,1,2,26,1,2,duly paid back,no savings,"[1, 4)",real estate,unskilled,no account,car,guarantor,consumer,ownership,none,True,male,male single,0
12,6468,2,1,52,1,1,so far so good,no savings,unemployed,none,white color,petty,television,none,none,ownership,yes,True,male,male single,1
36,9566,2,2,31,2,1,critical,"[0, 100)","[1, 4)",car,skilled,no account,television,none,consumer,ownership,none,True,female,female divorced/separated/married,0
18,1961,3,2,23,1,1,so far so good,"[0, 100)","[7, inf)",car,white color,salary,car,none,none,ownership,none,True,female,female divorced/separated/married,0
36,6229,4,4,23,2,1,critical,"[0, 100)","[0, 1)",none,unskilled,overdrawn,furniture,co-applicant,none,rent,yes,True,female,female divorced/separated/married,1
9,1391,2,1,27,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,petty,business,none,loan,ownership,yes,True,male,male married/widowed,0
15,1537,4,4,50,2,1,critical,no savings,"[7, inf)",real estate,skilled,petty,television,guarantor,none,ownership,yes,True,male,male single,0
36,1953,4,4,61,1,1,no loans,"[0, 100)","[7, inf)",none,white color,petty,business,none,none,without payment,yes,True,male,male single,1
48,14421,2,2,25,1,1,no loans,"[0, 100)","[1, 4)",car,skilled,petty,business,none,none,ownership,yes,True,male,male single,1
24,3181,4,4,26,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,skilled,no account,television,none,none,ownership,yes,True,female,female divorced/separated/married,0
27,5190,4,4,48,4,2,so far so good,no savings,"[7, inf)",building savings / life insurance,skilled,no account,repairs,none,none,ownership,yes,True,male,male single,0
12,2171,2,2,29,1,1,so far so good,"[0, 100)","[0, 1)",car,skilled,no account,television,none,loan,ownership,none,True,female,female divorced/separated/married,0
12,1007,4,1,22,1,1,so far so good,"[1000, inf)","[1, 4)",real estate,skilled,petty,car,none,none,ownership,none,True,male,male married/widowed,0
36,1819,4,4,37,1,1,so far so good,"[0, 100)","[1, 4)",none,skilled,no account,education,none,consumer,without payment,yes,True,male,male single,1
36,2394,4,4,25,1,1,so far so good,no savings,"[1, 4)",car,skilled,no account,television,none,none,ownership,none,True,female,female divorced/separated/married,0
36,8133,1,2,30,1,1,so far so good,"[0, 100)","[1, 4)",building savings / life insurance,skilled,no account,used car,none,loan,ownership,none,True,female,female divorced/separated/married,0
7,730,4,2,46,2,1,critical,no savings,"[7, inf)",building savings / life insurance,unskilled,no account,television,none,none,rent,yes,True,male,male single,0
8,1164,3,4,51,2,2,critical,"[0, 100)","[7, inf)",none,white color,overdrawn,other,none,loan,without payment,yes,True,male,male single,0
42,5954,2,1,41,2,1,critical,"[0, 100)","[4, 7)",real estate,unskilled,petty,business,none,loan,ownership,none,True,female,female divorced/separated/married,0
36,1977,4,4,40,1,1,so far so good,no savings,"[7, inf)",none,white color,overdrawn,education,none,none,ownership,yes,True,male,male single,1
12,1526,4,4,66,2,1,critical,"[0, 100)","[7, inf)",none,white color,overdrawn,used car,none,none,without payment,none,True,male,male single,0
42,3965,4,3,34,1,1,so far so good,"[0, 100)","[0, 1)",car,skilled,overdrawn,television,none,none,ownership,none,True,male,male single,1
11,4771,2,4,51,1,1,delay,"[0, 100)","[4, 7)",building savings / life insurance,skilled,petty,television,none,none,ownership,none,True,male,male single,0
54,9436,2,2,39,1,2,no loans,no savings,"[1, 4)",building savings / life insurance,unskilled,no account,used car,none,none,ownership,none,True,male,male single,0
30,3832,2,1,22,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,skilled,petty,furniture,none,none,ownership,none,True,male,male married/widowed,0
24,5943,1,1,44,2,1,so far so good,no savings,"[0, 1)",car,skilled,no account,television,none,none,ownership,yes,True,female,female divorced/separated/married,1
15,1213,4,3,47,1,1,so far so good,"[500, 1000)","[7, inf)",building savings / life insurance,skilled,no account,television,none,consumer,ownership,yes,True,male,male single,0
18,1568,3,4,24,1,1,so far so good,"[100, 500)","[1, 4)",building savings / life insurance,unskilled,no account,business,none,none,rent,none,True,female,female divorced/separated/married,0
24,1755,4,4,58,1,1,so far so good,"[0, 100)","[7, inf)",real estate,unskilled,overdrawn,other,guarantor,none,ownership,yes,True,female,female divorced/separated/married,0
10,2315,3,4,52,1,1,so far so good,"[0, 100)","[7, inf)",real estate,unskilled,overdrawn,television,none,none,ownership,none,True,male,male single,0
12,1412,4,2,29,2,1,critical,"[0, 100)","[1, 4)",real estate,white color,no account,business,guarantor,none,ownership,yes,True,female,female divorced/separated/married,0
18,1295,4,1,27,2,1,critical,"[0, 100)","[0, 1)",building savings / life insurance,skilled,petty,furniture,none,none,ownership,none,True,female,female divorced/separated/married,0
36,12612,1,4,47,1,2,so far so good,"[100, 500)","[1, 4)",none,skilled,petty,education,none,none,without payment,yes,True,male,male single,1
18,2249,4,3,30,1,2,so far so good,"[100, 500)","[4, 7)",car,white color,overdrawn,car,none,none,ownership,yes,True,male,male single,0
12,1108,4,3,28,2,1,no loans,"[0, 100)","[4, 7)",real estate,skilled,overdrawn,repairs,none,none,ownership,none,True,male,male single,1
12,618,4,4,56,1,1,critical,"[0, 100)","[7, inf)",real estate,skilled,no account,television,none,none,ownership,none,True,male,male single,0
12,1409,4,3,54,1,1,critical,"[0, 100)","[7, inf)",real estate,skilled,overdrawn,used car,none,none,ownership,none,True,male,male single,0
12,797,4,3,33,1,2,critical,no savings,"[7, inf)",building savings / life insurance,unskilled,no account,television,none,loan,ownership,none,True,female,female divorced/separated/married,1
24,3617,4,4,20,2,1,critical,no savings,"[7, inf)",none,skilled,salary,furniture,co-applicant,none,rent,none,True,male,male single,0
12,1318,4,4,54,1,1,so far so good,"[1000, inf)","[7, inf)",real estate,skilled,petty,car,none,none,ownership,yes,True,male,male single,0
54,15945,3,4,58,1,1,no loans,"[0, 100)","[0, 1)",none,skilled,petty,business,none,none,rent,yes,True,male,male single,1
12,2012,4,2,61,1,1,critical,no savings,"[4, 7)",car,skilled,no account,education,none,none,ownership,none,True,female,female divorced/separated/married,0
18,2622,4,4,34,1,1,so far so good,"[100, 500)","[1, 4)",car,skilled,petty,business,none,none,ownership,none,True,male,male single,0
36,2337,4,4,36,1,1,critical,"[0, 100)","[7, inf)",real estate,skilled,petty,television,none,none,ownership,none,True,male,male single,0
20,7057,3,4,36,2,2,delay,no savings,"[4, 7)",building savings / life insurance,white color,petty,used car,none,loan,rent,yes,True,male,male single,0
24,1469,4,4,41,1,1,so far so good,"[100, 500)","[7, inf)",real estate,unskilled,no account,car,none,none,rent,none,True,male,male married/widowed,0
36,2323,4,4,24,1,1,so far so good,"[0, 100)","[4, 7)",car,skilled,petty,television,none,none,rent,none,True,male,male single,0
6,932,3,2,24,1,1,delay,"[0, 100)","[1, 4)",real estate,skilled,no account,television,none,none,ownership,none,True,female,female divorced/separated/married,0
9,1919,4,3,35,1,1,critical,"[0, 100)","[4, 7)",car,skilled,petty,furniture,none,none,rent,yes,True,male,male single,0
12,2445,2,4,26,1,1,so far so good,no savings,"[0, 1)",car,skilled,no account,used car,none,none,rent,yes,True,male,male married/widowed,0
24,11938,2,3,39,2,2,critical,"[0, 100)","[1, 4)",car,white color,petty,other,co-applicant,none,ownership,yes,True,male,male single,1
18,6458,2,4,39,2,2,duly paid back,"[0, 100)","[7, inf)",none,white color,no account,car,none,loan,ownership,yes,True,male,male single,1
12,6078,2,2,32,1,1,so far so good,"[0, 100)","[4, 7)",car,skilled,petty,car,none,none,ownership,none,True,male,male single,0
24,7721,1,2,30,1,1,so far so good,no savings,"[0, 1)",building savings / life insurance,skilled,overdrawn,furniture,none,none,ownership,yes,False,female,female divorced/separated/married,0
14,1410,1,2,35,1,1,so far so good,"[500, 1000)","[7, inf)",real estate,skilled,petty,business,none,none,ownership,yes,True,male,male married/widowed,0
6,1449,1,2,31,2,2,delay,"[100, 500)","[7, inf)",car,skilled,petty,business,none,loan,ownership,none,True,male,male divorced/separated,0
15,392,4,4,23,1,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,skilled,salary,education,none,none,rent,yes,True,female,female divorced/separated/married,0
18,6260,3,3,28,1,1,so far so good,"[0, 100)","[4, 7)",real estate,unskilled,petty,car,none,none,rent,none,True,male,male single,0
36,7855,4,2,25,2,1,critical,"[0, 100)","[1, 4)",real estate,skilled,no account,car,none,consumer,ownership,yes,True,female,female divorced/separated/married,1
12,1680,3,1,35,1,1,so far so good,"[500, 1000)","[7, inf)",real estate,skilled,overdrawn,television,none,none,ownership,none,True,male,male married/widowed,0
48,3578,4,1,47,1,1,critical,no savings,"[7, inf)",real estate,skilled,no account,television,none,none,ownership,yes,True,male,male single,0
42,7174,4,3,30,1,1,so far so good,no savings,"[4, 7)",car,white color,overdrawn,television,none,none,ownership,yes,True,female,female divorced/separated/married,1
10,2132,2,3,27,2,1,critical,no savings,"[0, 1)",real estate,skilled,overdrawn,furniture,co-applicant,none,rent,none,False,female,female divorced/separated/married,0
33,4281,1,4,23,2,1,critical,"[500, 1000)","[1, 4)",car,skilled,overdrawn,furniture,none,none,ownership,none,True,female,female divorced/separated/married,1
12,2366,3,3,36,1,1,critical,"[500, 1000)","[4, 7)",car,white color,petty,car,none,none,ownership,yes,True,male,male divorced/separated,0
21,1835,3,2,25,2,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,overdrawn,television,none,none,ownership,yes,True,female,female divorced/separated/married,1
24,3868,4,2,41,2,1,critical,"[0, 100)","[7, inf)",car,white color,no account,used car,none,none,rent,yes,True,female,female divorced/separated/married,0
12,1768,3,2,24,1,1,so far so good,"[0, 100)","[1, 4)",real estate,unskilled,no account,furniture,none,none,rent,none,True,male,male single,0
10,781,4,4,63,2,1,critical,"[0, 100)","[7, inf)",none,skilled,salary,car,none,none,without payment,yes,True,male,male single,0
18,1924,4,3,27,1,1,so far so good,no savings,"[0, 1)",real estate,skilled,petty,furniture,none,none,rent,none,True,female,female divorced/separated/married,1
12,2121,4,2,30,2,1,critical,"[0, 100)","[1, 4)",building savings / life insurance,skilled,overdrawn,car,none,none,ownership,none,True,male,male single,0
12,701,4,2,40,1,1,so far so good,"[0, 100)","[1, 4)",real estate,unskilled,overdrawn,television,none,none,ownership,none,True,male,male married/widowed,0
12,639,4,2,30,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,petty,repairs,none,none,ownership,none,True,male,male single,1
12,1860,4,2,34,2,1,critical,"[0, 100)",unemployed,car,white color,petty,used car,none,none,ownership,yes,True,male,male single,0
12,3499,3,2,29,2,1,critical,"[0, 100)","[1, 4)",real estate,skilled,overdrawn,car,co-applicant,none,ownership,none,True,female,female divorced/separated/married,1
48,8487,1,2,24,1,1,so far so good,no savings,"[4, 7)",car,skilled,petty,car,none,none,ownership,none,True,female,female divorced/separated/married,0
36,6887,4,3,29,1,1,delay,"[0, 100)","[1, 4)",building savings / life insurance,skilled,overdrawn,education,none,consumer,ownership,yes,True,male,male single,1
15,2708,2,3,27,2,1,so far so good,"[0, 100)","[0, 1)",building savings / life insurance,unskilled,no account,furniture,none,loan,ownership,none,True,male,male single,0
18,1984,4,4,47,2,1,so far so good,"[0, 100)","[1, 4)",none,skilled,no account,furniture,none,loan,without payment,none,True,male,male single,0
60,10144,2,4,21,1,1,so far so good,"[100, 500)","[4, 7)",real estate,skilled,no account,television,none,none,ownership,yes,True,female,female divorced/separated/married,0
12,1240,4,2,38,2,1,critical,no savings,"[7, inf)",real estate,skilled,no account,television,none,none,ownership,yes,True,female,female divorced/separated/married,0
27,8613,2,2,27,2,1,delay,"[1000, inf)","[1, 4)",car,skilled,no account,used car,none,none,ownership,none,True,male,male single,0
12,766,4,3,66,1,1,so far so good,"[500, 1000)","[1, 4)",real estate,unskilled,petty,television,none,none,ownership,none,True,male,male single,1
15,2728,4,2,35,3,1,critical,no savings,"[4, 7)",real estate,skilled,petty,television,guarantor,loan,ownership,yes,True,male,male single,0
12,1881,2,2,44,1,1,so far so good,"[0, 100)","[1, 4)",car,unskilled,salary,television,none,none,rent,yes,True,female,female divorced/separated/married,0
6,709,2,2,27,1,1,so far so good,"[1000, inf)","[0, 1)",real estate,unemployed/unskilled non-resident,salary,car,none,none,ownership,none,False,male,male married/widowed,0
36,4795,4,1,30,1,1,so far so good,"[0, 100)","[0, 1)",none,white color,petty,television,none,none,ownership,yes,True,female,female divorced/separated/married,0
27,3416,3,2,27,1,1,so far so good,"[0, 100)","[1, 4)",car,white color,overdrawn,television,none,none,ownership,none,True,male,male single,0
18,2462,2,2,22,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,overdrawn,furniture,none,none,ownership,none,True,male,male single,1
21,2288,4,4,23,1,1,critical,"[0, 100)","[0, 1)",building savings / life insurance,skilled,no account,furniture,none,none,ownership,yes,True,female,female divorced/separated/married,0
48,3566,4,2,30,1,1,duly paid back,"[100, 500)","[4, 7)",car,skilled,petty,business,none,none,ownership,none,True,male,male single,0
6,860,1,4,39,2,1,critical,"[0, 100)","[7, inf)",none,skilled,overdrawn,car,none,none,ownership,yes,True,female,female divorced/separated/married,0
12,682,4,3,51,2,1,critical,"[100, 500)","[4, 7)",car,skilled,no account,car,none,none,ownership,yes,True,female,female divorced/separated/married,0
36,5371,3,2,28,2,1,critical,"[0, 100)","[1, 4)",building savings / life insurance,skilled,overdrawn,furniture,guarantor,none,ownership,none,True,male,male single,0
18,1582,4,4,46,2,1,critical,"[1000, inf)","[7, inf)",car,skilled,no account,television,none,none,ownership,none,True,male,male single,0
6,1346,2,4,42,1,2,so far so good,"[100, 500)","[7, inf)",none,skilled,no account,television,none,loan,without payment,yes,True,male,male single,0
10,1924,1,4,38,1,1,so far so good,"[0, 100)","[1, 4)",building savings / life insurance,skilled,no account,television,none,none,ownership,yes,False,male,male single,0
36,5848,4,1,24,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,salary,television,none,none,ownership,none,True,male,male single,0
24,7758,2,4,29,1,1,critical,"[1000, inf)","[7, inf)",none,skilled,petty,used car,none,none,rent,none,True,female,female divorced/separated/married,0
24,6967,4,4,36,1,1,delay,"[100, 500)","[4, 7)",car,white color,petty,business,none,none,rent,yes,True,male,male single,0
12,1282,2,4,20,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,overdrawn,furniture,none,none,rent,none,True,female,female divorced/separated/married,1
9,1288,3,4,48,2,2,critical,"[100, 500)","[7, inf)",real estate,skilled,overdrawn,repairs,guarantor,none,ownership,none,False,male,male single,0
12,339,4,1,45,1,1,duly paid back,"[0, 100)","[7, inf)",car,unskilled,overdrawn,retraining,none,loan,ownership,none,True,male,male married/widowed,0
24,3512,2,3,38,2,1,so far so good,"[100, 500)","[4, 7)",car,skilled,petty,car,none,loan,ownership,yes,True,male,male single,0
6,1898,1,2,34,2,2,critical,no savings,"[1, 4)",real estate,unskilled,no account,television,none,none,ownership,none,True,male,male single,0
24,2872,3,4,36,1,2,critical,"[100, 500)","[7, inf)",real estate,skilled,no account,television,none,none,ownership,yes,True,male,male single,0
18,1055,4,1,30,2,1,critical,"[0, 100)","[0, 1)",building savings / life insurance,skilled,no account,car,none,none,ownership,none,True,female,female divorced/separated/married,0
15,1262,4,3,36,2,1,so far so good,"[500, 1000)","[4, 7)",building savings / life insurance,skilled,no account,appliances,none,none,ownership,yes,True,male,male single,0
10,7308,2,4,70,1,1,so far so good,"[0, 100)",unemployed,none,white color,petty,car,none,loan,without payment,yes,True,male,male single,0
36,909,4,4,36,1,1,so far so good,"[500, 1000)","[7, inf)",building savings / life insurance,skilled,no account,car,none,none,ownership,none,True,male,male single,0
6,2978,1,2,32,1,1,so far so good,"[500, 1000)","[1, 4)",car,skilled,no account,furniture,none,none,ownership,yes,True,male,male single,0
18,1131,4,2,33,1,1,so far so good,"[0, 100)",unemployed,car,skilled,overdrawn,furniture,none,none,ownership,none,True,female,female divorced/separated/married,1
11,1577,4,1,20,1,1,so far so good,"[1000, inf)","[0, 1)",real estate,skilled,petty,furniture,none,none,ownership,none,True,female,female divorced/separated/married,0
24,3972,2,4,25,1,1,so far so good,"[0, 100)","[4, 7)",building savings / life insurance,skilled,no account,furniture,none,none,rent,yes,True,female,female divorced/separated/married,0
24,1935,4,4,31,2,1,critical,"[0, 100)","[7, inf)",real estate,skilled,petty,business,none,none,ownership,yes,True,male,male divorced/separated,1
15,950,4,3,33,2,2,no loans,"[0, 100)","[7, inf)",car,skilled,overdrawn,car,none,none,rent,none,True,male,male single,1
12,763,4,1,26,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,no account,furniture,none,none,ownership,yes,True,female,female divorced/separated/married,0
24,2064,3,2,34,1,1,delay,"[0, 100)",unemployed,building savings / life insurance,white color,petty,furniture,none,none,ownership,yes,True,female,female divorced/separated/married,1
8,1414,4,2,33,1,1,so far so good,"[0, 100)","[1, 4)",real estate,skilled,petty,television,guarantor,none,ownership,none,False,male,male single,0
21,3414,2,1,26,2,1,delay,"[0, 100)","[0, 1)",building savings / life insurance,skilled,overdrawn,education,none,none,ownership,none,True,male,male single,1
30,7485,4,1,53,1,1,duly paid back,no savings,unemployed,real estate,white color,no account,used car,none,loan,ownership,yes,True,female,female divorced/separated/married,1
12,2577,2,1,42,1,1,so far so good,"[0, 100)","[1, 4)",car,skilled,overdrawn,furniture,none,none,ownership,none,True,male,male divorced/separated,0
6,338,4,4,52,2,1,critical,"[500, 1000)","[7, inf)",car,skilled,overdrawn,television,none,none,ownership,none,True,male,male single,0
12,1963,4,2,31,2,2,so far so good,"[0, 100)","[4, 7)",car,white color,no account,television,none,none,rent,yes,True,male,male single,0
21,571,4,4,65,2,1,critical,"[0, 100)","[7, inf)",real estate,skilled,overdrawn,car,none,none,ownership,none,True,male,male single,0
36,9572,1,1,28,2,1,delay,"[0, 100)","[0, 1)",car,skilled,no account,business,none,none,ownership,none,True,male,male divorced/separated,1
36,4455,2,2,30,2,1,delay,"[0, 100)","[1, 4)",real estate,white color,petty,business,none,consumer,ownership,yes,True,male,male divorced/separated,1
21,1647,4,2,40,2,2,duly paid back,no savings,"[1, 4)",building savings / life insurance,unskilled,overdrawn,car,none,none,ownership,none,True,male,male single,1
24,3777,4,4,50,1,1,critical,"[1000, inf)","[1, 4)",real estate,skilled,no account,furniture,none,none,ownership,yes,True,male,male single,0
18,884,4,4,36,1,2,critical,"[0, 100)","[7, inf)",car,skilled,petty,car,none,loan,ownership,yes,True,male,male single,1
15,1360,4,2,31,2,1,critical,"[0, 100)","[1, 4)",building savings / life insurance,skilled,no account,television,none,none,ownership,none,True,male,male single,0
9,5129,2,4,74,1,2,duly paid back,"[0, 100)","[7, inf)",none,white color,petty,used car,none,loan,without payment,yes,True,female,female divorced/separated/married,1
16,1175,2,3,68,3,1,critical,"[0, 100)",unemployed,car,unemployed/unskilled non-resident,petty,car,none,none,without payment,yes,True,male,male single,0
12,674,4,1,20,1,1,so far so good,"[100, 500)","[4, 7)",building savings / life insurance,skilled,overdrawn,television,none,none,ownership,none,True,male,male married/widowed,1
18,3244,1,4,33,2,1,no loans,"[0, 100)","[1, 4)",car,skilled,petty,furniture,none,loan,ownership,yes,True,female,female divorced/separated/married,0
24,4591,2,3,54,3,1,so far so good,"[1000, inf)","[1, 4)",building savings / life insurance,white color,no account,business,none,none,ownership,yes,True,male,male single,1
48,3844,4,4,34,1,2,no loans,"[100, 500)","[4, 7)",none,unskilled,petty,business,none,none,without payment,none,True,male,male single,1
27,3915,4,2,36,1,2,so far so good,"[0, 100)","[1, 4)",car,skilled,petty,business,none,none,ownership,yes,True,male,male single,1
6,2108,2,2,29,1,1,so far so good,"[0, 100)","[4, 7)",real estate,skilled,no account,television,none,none,rent,none,True,male,male married/widowed,0
45,3031,4,4,21,1,1,so far so good,"[100, 500)","[1, 4)",building savings / life insurance,skilled,petty,television,guarantor,none,rent,none,True,male,male single,1
9,1501,2,3,34,2,1,critical,"[0, 100)","[7, inf)",car,white color,petty,education,none,none,ownership,yes,True,female,female divorced/separated/married,1
